교차로명,시도,시군구,도로명,기타주소,도로등급,시행청,준공연도,교차로 유형,회전교차로 유형,로터리 유형,"스쿨존 내
위치여부",교차로 내 신호 여부,"접근로 진입부
양보선 여부",계,신규추가,누락추가,비고,위도,경도,NUMPOINTS
봉림교 삼거리,서울특별시,관악구,관천로,"68",구도,행정안전부,"2014",3지,1차로형,,,,O,,,,,37.485086,126.925213,"1"
초롱타운아파트 앞,서울특별시,구로구,벚꽃로,"466",구도,행정안전부,"2013",3지,1차로형,,,,O,,,,,37.495278,126.880048,"1"
가마산로 지하차도 상부,서울특별시,구로구,가마산로,"141",구도,행정안전부,"2015",3지,1차로형,,,,O,,,,,37.488285,126.880443,"9"
가산동 스타밸리 앞,서울특별시,금천구,벚꽃로 38길,"445",구도,행정안전부,"2015",3지,1차로형,,,,O,,,,,37.482337,126.884634,"0"
독산동 금천현대A입구,서울특별시,금천구,벚꽃로 ,"1005",구도,행정안전부,"2015",3지,1차로형,,,,O,,,,,37.462602,126.892243,"1"
답십리5치안센터 앞,서울특별시,동대문구,고미술로,"91",구도,행정안전부,"2013",3지,1차로형,,,,O,,,,,37.5649,127.057136,"4"
한내어린이공원 앞,서울특별시,동대문구,장한로18길,"40",구도,지자체,미상,4지,소형,,,,,,,,,37.56764,127.071464,"2"
샛별어린이공원 앞,서울특별시,동대문구,장한로17길,"20",구도,지자체,미상,5지,소형,,,,,,,,,37.567743,127.066999,"3"
참새어린이 공원 앞 (신대방벽산아파트 앞),서울특별시,동작구,여의대방로22길,"40",구도,행정안전부,"2015",4지,1차로형,,,,O,,,,,37.4978,126.922189,"7"
월드컵파크7단지 앞 ,서울특별시,마포구,월드컵로,42길,구도,행정안전부,"2013",3지,1차로형,,O,,O,,,,,37.58059,126.879808,"2"
상암고앞,서울특별시,마포구,상암동,"1728",구도,행정안전부,"2013",3지,1차로형,,,,O,,,,,37.580811,126.884208,"3"
당인리발전소 앞,서울특별시,마포구,합정동,"4021",특별시도,행정안전부,"2011",3지,1차로형,,,,O,,,,,37.545484,126.917292,"1"
현석동 반도유보라 아일랜드아파트 앞,서울특별시,마포구,현석동,"1455",구도,민간사업자,"2016",3지,소형,,,,O,,,,,37.54222,126.934175,"1"
망원초록길 앞,서울특별시,마포구,망원동,"21143",구도,지자체,"2014",3지,1차로형,,,,O,,,,,37.551431,126.902851,"0"
상암중학교 앞,서울특별시,마포구,상암동,"1657",구도,행정안전부,"2013",3지,1차로형,,,,O,,,,,37.578981,126.887065,"0"
홍대걷고 싶은 거리 내①,서울특별시,마포구,어울마당로,"135",구도,지자체,"2002",5지,소형,,,,O,,,,,37.556211,126.925086,"2"
홍대걷고 싶은 거리 내②,서울특별시,마포구,어울마당로,"1461",구도,지자체,"2002",4지,소형,,,,O,,,,,37.556489,126.926234,"2"
망원동 유수지체육시설 앞,서울특별시,마포구,동교로3길,"125",구도,지자체,"2008",4지,1차로형,,,,O,,,,,37.555687,126.897163,"2"
한강경찰대 앞,서울특별시,마포구,마포나루길,"437",기타,지자체,"2012",5지,1차로형,,,,,,,,,37.554902,126.896238,"6"
봉원고가 하부,서울특별시,서대문구,성산로,"565",특별시도,행정안전부,"2011",4지,1차로형,,,,O,,,,,37.566607,126.946792,"8"
사천교 인근,서울특별시,서대문구,홍제천로 11 ,연희동 446-92,구도,지자체,"1990",3지,1차로형,,,,,1,,"1",,37.568869,126.918646,"8"
신촌기차역앞,서울특별시,서대문구,신촌역로 22-5,대현동 60-11,시도,철도청,"2005",3지,2차로형,,,,,1,,"1",,37.558966,126.942597,"36"
은가어린이공원,서울특별시,서대문구,증가로20가길 89,북가좌동 3-39,구도,자자체,"2006",3지,2차로형,,,,,1,,"1",,37.582785,126.91946,"3"
궁등산공원입구,서울특별시,서대문구,연희로11마길 79-10 ,연희동 437-88,구도,지자체,"2010",3지,소형,,,,,1,,"1",,37.56965,126.924083,"0"
잠수교 남단,서울특별시,서초구,신반로포11길,"40",기타,지자체,"2011",4지,1차로형,,,,O,,,,,37.51071,126.998369,"12"
서울추모공원 입구,서울특별시,서초구,양재대로12길,"7319",특별시도,지자체,"2013",4지,1차로형,,,,O,,,,,37.45833,127.039381,"1"
내곡보금자리 내(307동 앞),서울특별시,서초구,헌릉로8길,"45",구도,서울주택도시공사,"2014",4지,1차로형,,O,O,O,,,,,37.454687,127.060445,"1"
내곡보금자리 내(105동 앞),서울특별시,서초구,헌릉로,"226",구도,서울주택도시공사,"2014",5지,1차로형,,,,O,,,,,37.454485,127.065113,"1"
행당중학교앞 ,서울특별시,성동구,왕십리로,"189",구도,LH공사,"2014",3지,1차로형,,,,O,,,,,37.553729,127.04154,"0"
"응봉교 하부 앞
(대림1차아파트 우측)",서울특별시,성동구,고산자로,"132",구도,지자체,"2016",4지,1차로형,,O,,O,,,,,37.552209,127.035077,"1"
"응봉교 하부 앞
(응봉역1번출구 인근)",서울특별시,성동구,고산자로,"130",구도,지자체,"2016",3지,1차로형,,,,O,,,,,37.551502,127.035297,"3"
종암동 현대아이파크1차 앞,서울특별시,성북구,종암로27길,"13",구도,지자체,미상,5지,소형,,,,O,,,,,37.602861,127.031207,"1"
종암동 현대아이파크2차 앞,서울특별시,성북구,종암로9길,"75",구도,지자체,미상,3지,소형,,,,O,,,,,37.597223,127.032614,"2"
장위중학교 앞,서울특별시,성북구,장위로4길,"70",구도,지자체,"2010",3지,소형,,,,O,,,,,37.612086,127.040569,"1"
석관고교 앞(중앙하이츠아파트 정문 앞),서울특별시,성북구,한천로70길,"30",특별시도,행정안전부,"2011",3지,1차로형,,,,O,,,,,37.610427,127.067029,"5"
무영빌딩 앞(동궁리치웰아파트 앞 교차로),서울특별시,송파구,오금로44길,"47",구도,행정안전부,"2011",4지,1차로형,,,,O,,,,,37.494017,127.133101,"1"
송파파크데일1단지 앞,서울특별시,송파구,성내천로37길,"37",구도,서울주택도시공사,"2012",4지,1차로형,,,,O,,,,,37.497687,127.160265,"0"
영파여고 뒤,서울특별시,송파구,풍성로26길,"22",구도,행정안전부,"2015",5지,1차로형,,,,O,,,,,37.497688,127.160249,"0"
풍납시장 입구,서울특별시,송파구,바람드리길,"51",구도,지자체,"2009",3지,소형,,,,,,,,,37.537162,127.121565,"14"
석촌지하차도 상부,서울특별시,송파구,백제고분로,"332",구도,지자체,"2018",5지,1차로형,,,,O,,,,,37.503752,127.103285,"6"
푸르지오아파트 앞,서울특별시,영등포구,영신로9가길,"16",구도,지자체,"2006",3지,소형,,,,O,,,,,37.513437,126.905068,"6"
성산대교 남단 하부,서울특별시,영등포구,양화동,"17",특별시도,행정안전부,"2012",5지,1차로형,,,,O,,,,,37.545792,126.889726,"5"
한강로1가 대우월드마크 주변,서울특별시,용산구,한강대로,"211",구도,민간사업자,"2007",3지,소형,,,,O,,,,,37.537457,126.972446,"0"
청파초교 앞 교차로,서울특별시,용산구,임정로,"111",구도,지자체,"2009",4지,1차로형,,,,O,,,,,37.546568,126.963352,"7"
구 45번 종점 교차로,서울특별시,용산구,두텁바위로,"81",구도,행정안전부,"2011",3지,1차로형,,,,O,,,,,37.54675,126.981165,"9"
은평구청 앞,서울특별시,은평구,은평로,"195",구도,지자체,"2009",3지,소형,,,,O,,,,,37.602042,126.929401,"3"
수색차고지 앞,서울특별시,은평구,수색로24길,"19",구도,지자체,"2010",3지,소형,,,,O,,,,,37.591579,126.883444,"0"
응암로 13길 171(은평문화회관 주변),서울특별시,은평구,응암로13길,"23",구도,행정안전부,"2013",3지,1차로형,,,,O,,,,,37.589,126.915045,"4"
증산빗물펌프장 앞,서울특별시,은평구,증산로,"213",구도,행정안전부,"2016",3지,1차로형,,,,O,,,,,37.578488,126.902987,"0"
종로소방서 앞,서울특별시,종로구,종로1길,"28",특별시도,행정안전부,"2011",4지,1차로형,,,,O,,,,,37.572711,126.978512,"3"
덕수초등학교 앞,서울특별시,종로구,덕수궁길,"140",구도,행정안전부,"2012",4지,1차로형,,O,,O,,,,,37.569425,126.974368,"1"
대한민국역사박물관 앞,서울특별시,종로구,세종대로,"198",특별시도,행정안전부,"2013",4지,1차로형,,,,O,,,,,37.574396,126.978492,"7"
올림픽기념국민생활관 앞,서울특별시,종로구,성균관로,"91",구도,행정안전부,"2016",3지,1차로형,,O,,O,,,,,37.589816,126.999141,"2"
정동교회 앞(서울시립미술관 앞),서울특별시,중구,서소문로11길,"50",구도,행정안전부,"2011",4지,1차로형,,,,,,,,,37.565236,126.973421,"0"
구덕운동장 뒤 사거리,부산광역시,서구,꽃마을로,"24","7",행정안전부,"2011",4지,1차로형,,,,O,,,,,35.116196,129.013203,"3"
아미교차로,부산광역시,서구,해돋이로,"268","7",행정안전부,"2013",5지,1차로형,,,,O,,,,,35.100244,129.016447,"18"
송도 해안산책로 입구,부산광역시,서구,송도해변로,"11","7",지자체,"2018",기타,소형,,,,O,,,,,35.071093,129.018592,"1"
초량 제2지하차도 입구,부산광역시,동구,중앙대로 308번길,"5","5",행정안전부,"2012",4지,1차로형,,,,O,,,,,35.123738,129.045046,"4"
범일5동 주민센터 입구,부산광역시,동구,성남로,"49","7",행정안전부,"2012",4지,2차로형,,,,O,,,,,35.130948,129.054421,"4"
태종대유원지 회전교차로,부산광역시,영도구,태종로,"834","5",행정안전부,"2011",5지,2차로형,,,,O,,,,,35.061868,129.081291,"1"
남항대교 밑 회전교차로,부산광역시,영도구,남항남로,"52","7",행정안전부,"2014",기타,1차로형,,,,O,,,,,35.083537,129.03981,"7"
영선윗로터리,부산광역시,영도구,절영로,"122","5",지자체,"2018",5지,2차로형,,,,O,,,,,35.085331,129.042556,"8"
범천지하차도 상부 교차로,부산광역시,부산진구,신암로,"56","7",지자체,"2009",3지,2차로,,,,O,,,,,35.146763,129.05564,"0"
부산어린이대공원 교차로(로터리),부산광역시,부산진구,새싹로,"295","7",지자체,"2003",5지,,"4차로
(현행유지)",,,,,,,4월말까지 회전교차로 관련 교통시설물 정비(제거)완료 예정,35.182173,129.046943,"20"
늘빛교회 앞 교차로,부산광역시,남구,신선대산복로,"253","5",행정안전부,"2010",4지,1차로형,,,,O,,,,,35.107523,129.112137,"7"
오륙도 해맞이 교차로,부산광역시,남구,오륙도로 ,"137","5",지자체,"2012",3지,소형,,,,O,,,,,35.101509,129.122365,"0"
만덕중학교회전교차로,부산광역시,북구,만덕1로,"51","7",행정안전부,"2014",4지,소형,,O,,O,,,,,35.214309,129.031875,"1"
구포유림노르웨이 회전교차로,부산광역시,북구,낙동북로,"757","7",행정안전부,"2018",3지,1차로형,,,O,O,,,,,35.197312,129.002393,"5"
송정해수욕장 회전교차로,부산광역시,해운대구,송정중앙로,"45","7",행정안전부,"2010",4지,1차로형,,,,O,,,,,35.159849,129.153926,"1"
동백로29번길23 회전교차로,부산광역시,해운대구,동백로29번길,"23","7",지자체,"2013",4지,1차로형,,,,O,,,,,35.1813,129.205782,"1"
운촌항 회전교차로,부산광역시,해운대구,마린시티1로,"155","7",지자체,"2019",4지,1차로형,,,,O,,,,,35.156684,129.148522,"1"
당산오거리회전교차로,부산광역시,사하구,승학로,"58","7",지자체,"2015",5지,소형,,○,,○,,,,,35.10542,128.974392,"4"
장림협성르네상스 회전교차로,부산광역시,사하구,장평로,"87","5",행정안전부,"2013",4지,1차로형,,,,○,,,,,35.073929,128.973011,"2"
장림피혁조합 앞 회전교차로,부산광역시,사하구,장림로,"89","5",지자체,"2017",4지,1차로형,,,,○,,,,,35.081317,128.959694,"0"
범어사 입구 회전교차로,부산광역시,금정구,청룡로,"22","7",행정안전부,"2011",4지,1차로형,,,,O,,,,,35.275613,129.090362,"3"
두구동 철마로 입구 회전교차로,부산광역시,금정구,체육공원로,"524","7",행정안전부,"2011",4지,1차로형,,,,O,,,,,35.28752,129.108903,"1"
명지동 차량등록사업소 앞,부산광역시,강서구,명지오션시티10로,명지동 3282,"5",행정안전부,"2011",4지,1차로형,,,,O,,,,,35.084264,128.903601,"2"
명지동 오션타워(중앙상가) 앞,부산광역시,강서구,명지오션시티11로,명지동 3239,"5",행정안전부,"2011",4지,1차로형,,,,O,,,,,35.084317,128.90358,"3"
강동동 득천사거리,부산광역시,강서구,제도로,"858","5",행정안전부,"2012",4지,1차로형,,,,O,,,,,35.188806,128.921394,"3"
신호동 윌더하임아파트 옆,부산광역시,강서구, 신호산단3로,"55","5",행정안전부,"2013",4지,1차로형,,,,O,,,,,35.087342,128.877476,"1"
대저2동 서부산유통단지 주출입로,부산광역시,강서구,공항로,대저2동25512,"5",지자체,"2013",3지,2차로형,,,,O,,,,,35.169151,128.959812,"2"
대저2동 서부산유통단지 부출입로,부산광역시,강서구,공항로,대저2동32658,"5",지자체,"2013",3지,1차로형,,,,O,,,,,35.164393,128.958642,"5"
신호동 부영3차@ 옆(신호119 인근),부산광역시,강서구,신호산단5로,"31","5",행정안전부,"2014",4지,1차로형,,,,O,,,,,35.085659,128.877504,"6"
대저고등학교 옆(신라해장국 앞),부산광역시,강서구,공항로811번가길,대저2동 20064,"5",지자체,"2014",5지,소형,,O,,O,,,,,35.177154,128.957322,"0"
대저2동 덕두초교 앞,부산광역시,강서구,공항로791번길,대저2동 2488,"5",지자체,"2014",6지,소형,,O,,O,,,,,35.177154,128.957322,"0"
명지오션시티 퀸덤아파트 109동 앞,부산광역시,강서구,명지오션시티11로,"51","5",행정안전부,"2015",4지,1차로형,,,,O,,,,,35.084247,128.903508,"2"
명지국제신도시 금강1차@ 앞,부산광역시,강서구,명지국제5로,"59","5",LH공사,"2015",4지,1차로형,,,,O,,,,,35.100952,128.920359,"0"
명지오션시티 민원센터 앞,부산광역시,강서구,명지오션시티11로,"33","5",행정안전부,"2016",4지,1차로형,,,,O,,,,,35.084242,128.903635,"2"
명지오션시티 삼정그린코아 앞,부산광역시,강서구, 명지오션시티10로,"114","5",행정안전부,"2016",4지,1차로형,,,,O,,,,,35.084311,128.907785,"1"
명지오션시티 세정프라앞 교차로,부산광역시,강서구,명지오션시티4로,"81","5",지자체,"2018",4지,1차로형,,,,O,,,,,35.081929,128.903607,"2"
신호동 부영5차회전교차로 설치,부산광역시,강서구,신호산단1로,"101","5",행정안전부,"2018",4지,1차로형,,,,O,,,,,35.083331,128.877412,"0"
명지동 엘크루6단지회전교차로 설치,부산광역시,강서구,명지오션시티12로,"120","5",행안부,"2019",4지,1차로형,,,,O,,,,,35.081932,128.907765,"2"
신호동 새미래빌딩앞회전교차로설치,부산광역시,강서구,신호산단1로,"215","5",행안부,"2019",4지,1차로형,,,,O,,,,,35.085668,128.881974,"1"
명지국제신도시더샆퍼스트월드,부산광역시,강서구,명지국제2로,명지동2213,"5",LH,"2018",4지,1차로형,,,,O,,,,,35.096856,128.907435,"0"
명지국제신도시센텀오션인근,부산광역시,강서구,명지국제,명지동3597-5,"5",LH,"2018",4지,1차로형,,,,O,,,,,35.093655,128.90722,"0"
시청로 부근 회전교차로,부산광역시,연제구,시청로,"20","7",행정안전부,"2018",4지,2차로형,,,,O,,,,,35.181114,129.07515,"5"
엄궁동 농산물도매시장 입구 사거리,부산광역시,사상구,농산물시장로,"17","5",행정안전부,"2012",4지,2차로형,,,,O,,,,,35.127143,128.96616,"9"
주례럭키아파트 입구,부산광역시,사상구,가야대로282번길,"1","5",지자체,"2016",4지,1차로형,,,,O,,,,,35.150142,129.003735,"7"
주례한일유엔아이아파트 앞 교차로,부산광역시,사상구,백양대로,"37215","7",지자체,"2017",4지,1차로형,,O,,O,,,,,35.153943,129.011152,"4"
모라동 만선횟집 앞,부산광역시,사상구,모라로110번길,"60","5",국토부,"2017",3지,1차로형,,O,O,O,,,,,35.184419,128.994097,"5"
모라동 모라1동 복합주민센터 앞,부산광역시,사상구,모라로,"87","5",국토부,"2017",3지,2차로형,,,,O,,,,,35.186718,128.989322,"12"
 서부탑마트앞 교차로,부산광역시,기장군,읍내로,서부리 782,"6",행정안전부,"2013",4지,1차로형,,O,,O,,,,,35.245289,129.210396,"2"
화전마을입구 화전교차로,부산광역시,기장군,이화로,화전리 1152,"6",행정안전부,"2013",4지,1차로형,,O,,O,,,,,35.277705,129.231739,"1"
광산마을 회전교차로,부산광역시,기장군,청원길,원리 2913,"6",지자체,"2013",3지,소형,,,,O,,,,,35.309657,129.232635,"0"
일광역 앞 회전교차로,부산광역시,기장군,읍내로,삼성리 242,"6",행정안전부,"2019",4지,1차로형,,,,O,,,,,35.266447,129.233683,"0"
범어사 주차장 입구 회전교차로,부산광역시,금정구,범어사로,청룡동 산2-5,"6",지자체,"2017","2",1차로형,,,,O,1,,"1",,35.28218,129.072801,"0"
신호동 송정초등학교 앞 회전교차로,부산광역시,강서구,신호산단1로,신호동 300-2,"5",행정안전부,"2019",4지,1차로형,,O,,O,1,"1",,,35.085707,128.872998,"0"
이시아폴리스 더샵1·3차 ,대구광역시,동구,팔공로 53길,"10","5",행정안전부,"2016",4지,소형,,,,O,,,,,35.925917,128.639725,"0"
율하동 휴먼시아10단지앞,대구광역시,동구,율하동로 8길,"27","5",행정안전부,"2012",3지,소형,,,,O,,,,,35.861853,128.704283,"0"
율하동 휴먼시아10단지 남동측,대구광역시,동구,율하동로 8길,"16","5",행정안전부,"2014",3지,소형,,,,O,,,,,35.860506,128.703342,"0"
율하동 주님교회앞,대구광역시,동구,율하서로,"104","5",행정안전부,"2012",3지,소형,,○,,O,,,,,35.860611,128.688619,"0"
용계동 회전교차로,대구광역시,동구,용계로,"11","7",지자체,"2016",4지,소형,,,,O,,,,,35.874569,128.696461,"0"
신천동 패밀리마트앞,대구광역시,동구,동부로 26길,"28","5",행정안전부,"2010",4지,소형,,,,O,,,,,35.873489,128.627667,"2"
신천동 미니스탑앞,대구광역시,동구,동부로 26길,"49","5",행정안전부,"2010",4지,소형,,,,O,,,,,35.871322,128.628097,"2"
신암남로 회전교차로,대구광역시,동구,신암남로,"105","5",지자체,"2017",5지,소형,,,,O,,,,,35.880617,128.627389,"5"
봉무동 영신학교 앞,대구광역시,동구,팔공로 50길,"35","5",행정안전부,"2011",4지,소형,,○,,O,,,,,35.921408,128.645403,"2"
동촌유원지입구,대구광역시,동구,효동로 2길,"10","5",행정안전부,"2011",4지,2차로형,,,,,,,,,35.87825,128.652661,"1"
율하동 파란하늘유치원 북쪽,대구광역시,동구,금호강변로 3길,"9","5",지자체,"2018",3지,소형,,○,,O,1,,"1",,35.869452,128.689568,"1"
해맞이공원 내,대구광역시,동구,효동로 6길,"31","5",지자체,"2019",4지,소형,,,,O,1,"1",,,35.881523,128.650236,"0"
실내체육관 삼거리,대구광역시,북구,대구체육관로,"36","5",행정안전부,"2014",3지,1차로형,,,,O,,,,,35.892457,128.602961,"3"
성화여고삼거리,대구광역시,북구,복현로,"115","5",행정안전부,"2013",3지,1차로형,,,,O,,,,,35.900761,128.618446,"2"
삼성디지털프라자앞,대구광역시,북구,팔거천동로,"214","7",행정안전부,"2011",4지,소형,,,,O,,,,,35.943122,128.558843,"4"
동천워터피아앞,대구광역시,북구,동천로,"125","5",행정안전부,"2011",4지,소형,,,,O,,,,,35.942872,128.560778,"11"
대현도서관 앞 네거리,대구광역시,북구,대현남로,"34","5",행정안전부,"2018",4지,소형,,,,O,,,,,35.881408,128.60723,"10"
한신더휴 앞,대구광역시,북구,매전로4길,"32","5",민간사업자,"2019",3지,소형,,,,O,,,,,35.905124,128.543834,"0"
무림제지삼거리,대구광역시,북구,침산로,"231","5",행정안전부,"2019",4지,1차로형,,,,O,1,"1",,,35.896968,128.589159,"0"
욱수천로 133 앞,대구광역시,수성구,욱수천로,"133","7",지자체,"2017",3지,소형,,,,○,,,,,35.839134,128.715139,"3"
수성알파시티,대구광역시,수성구,노변공원로,"79","7",대구도시공사,"2017",4지,1차로형,,,,○,,,,,35.835331,128.697803,"0"
매호초등학교북서편 삼거리,대구광역시,수성구,달구벌대로,647길 30,"7",행정안전부,"2014",4지,1차로형,,○,,○,,,,,35.84227,128.711425,"1"
고산노변타운 삼거리,대구광역시,수성구,시지로,"50","7",행정안전부,"2014",3지,1차로형,,,,○,,,,,35.839778,128.694399,"1"
성당초교앞,대구광역시,달서구,구마로39길,"8316","3",행정안전부,"2014",4지,소형,,○,,O,,,,,35.841105,128.546801,"2"
모다아울렛앞,대구광역시,달서구,달서대로85길,"13","3",행정안전부,"2018",4지,1차로형,,,,O,,,,,35.837268,128.490389,"6"
다사읍사무소 앞,대구광역시,달성군,매곡로,매곡리 8852 일원,"3",행정안전부,"2014",3지,소형,,,,O,,,,,35.862188,128.454523,"0"
미주테크앞,대구광역시,달성군,세천로3길,세천리 17634  일원,"3",행정안전부,"2015",4지,1차로,,,,O,,,,,35.875938,128.465786,"0"
다사주공아파트앞,대구광역시,달성군,다사역로,매곡리 5145 일원,"3",행정안전부,"2016",4지,1차로,,○,,O,,,,,35.867073,128.456327,"1"
김흥교차로,대구광역시,달성군,옥포로,김흥리 산140-3,"3",지자체,"2018",4지,1차로,,,,O,1,,"1",,35.746746,128.491014,"2"
달성화성파크드림아파트앞,대구광역시,달성군,과학마을로,"25","3",지자체,"2019",4지,1차로,,,,O,1,"1",,,35.655931,128.416112,"3"
송월사거리 회전교차로,인천광역시,중구,"제물량로
(송월동3가)",11-113,"5",지자체,"2017",4지,2차로형,,,,O,,,,,37.479397,126.620125,"2"
청관사거리 회전교차로,인천광역시,중구,"제물량로
(항동2가)","253
(3)","5",지자체,"2017",3지,2차로형,,,,O,,,,,37.473411,126.618171,"0"
해양경찰서앞삼거리 ,인천광역시,중구,북성동1가 ,105-56,"5",행정안전부,"2011",3지,1차로형,,,,O,,,,,37.461613,126.601335,"0"
해승유치원사거리 앞,인천광역시,미추홀구,"학익소로
(학익동)","61번길 107
(647)","5",행정안전부,"2017",4지,1차로형,,O,,O,,,,,37.442784,126.676308,"2"
송도로터리,인천광역시,연수구,능허대로,588도,"5",인천광역시 종합건설본부,"1994",3지,2차로형,"2차로
(현행유지)",,,,,,,,37.417866,126.650294,"7"
남동국민체육센터 앞,인천광역시,남동구,"백범로
(만수동)","124번길94
(15)","7",행정안전부,"2011",3지,1차로형,,O,,O,,,,,37.458632,126.736427,"1"
장수공영차고지 앞,인천광역시,남동구,수현로,"15","7",행정안전부,"2013",5지,1차로형,,,,O,,,,,37.463578,126.750899,"1"
서창2지구 상업지역,인천광역시,남동구,"서창남순환로
(서창동)","222","5",LH공사,"2013",4지,2차로형,,,,,,,,,37.424156,126.748446,"1"
구월선수촌 상업지역,인천광역시,남동구,인하로,"568","5",인천도시공사,"2015",4지,2차로형,,,,O,,,,,37.44278,126.710096,"1"
구월동 성리초교 앞,인천광역시,남동구,"성리로
(구월동)","35번길 2014
(1557)","7",인천도시공사,"2015",3지,1차로형,,O,,O,,,,,37.446602,126.709574,"0"
마장공원 앞,인천광역시,부평구,"안남로
(산곡동)","안남로206번길
(270-1)","4",행정안전부,"2012",3지,1차로형,,,,,,,,,37.501182,126.708485,"0"
일신동 3군지사 앞,인천광역시,부평구,일신로,일신동 58-6,"4",행정안전부,"2013",5지,2차로형,,,,,,,,,37.481574,126.74587,"3"
부평 시장로터리,인천광역시,부평구,광장로,시장로 42,"4",행정안전부,"2010",6지,2차로,,,,,,,,,37.494339,126.726544,"24"
계양구어린이과학관 앞,인천광역시,계양구,방축로 21 일원,방축동 111-5 일원,"7",행정안전부,"2011",5지,소형,,,,○,,,,,37.551393,126.741049,"2"
왕길지하차도 교차로,인천광역시,서구,봉수대로,왕길동 657,"3",지자체,"2015",5지,2차로형,,,,o,,,,,37.598871,126.650823,"12"
탑재삼거리,인천광역시,강화군,능내리,337-4,"6",행정안전부,"2011",3지,1차로형,,,,O,,,,,37.655328,126.427575,"0"
초지삼거리,인천광역시,강화군,초지리,551-3,"5",행정안전부,"2012",3지,1차로형,,,,O,,,,,37.638715,126.523273,"2"
광성보,인천광역시,강화군,덕성리,산28-1,"5",행정안전부,"2014",3지,1차로형,,,,O,,,,,37.663629,126.526264,"0"
월곳삼거리,인천광역시,강화군,월곳리,341-15,"5",행정안전부,"2014",3지,1차로형,,,,O,,,,,37.767528,126.509886,"0"
삼산연육교 회전교차로,인천광역시,강화군,황청리,산170-3,"5",행정안전부,"2017",3지,1차로형,,,,O,,,,,37.707927,126.356474,"0"
삼산연육교 회전교차로,인천광역시,강화군,석모리,산69-5,"6",행정안전부,"2017",3지,1차로형,,,,O,,,,,37.695279,126.348946,"1"
온수리 사거리 ,인천광역시,강화군,온수리,433-38,"6",행정안전부,"2019",4지,1차로형,,,,O,1,"1",,,37.640101,126.485653,"1"
구월남로 교차로,인천광역시,남동구,구월동,1336-2,"3",행정안전부,"2019",5지,1차로형,,,,O,1,"1",,,37.453116,126.704836,"5"
