"무인교통단속카메라관리번호",시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치년도,관리기관명,관리기관전화번호,데이터기준일자
F4414,서울특별시,종로구,특별시도,,창의문로,2,서울특별시 종로구 창의문로,서울특별시 종로구 청운동 89-8,37.5880610000,126.9723650000,청운중학교 정문앞,1,50,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4415,서울특별시,용산구,고속국도,70번,강변북로,1,서울특별시 용산구 강변북로,서울특별시 용산구 이촌동 173-1,37.5240790000,126.9553700000,대림@101동 앞,1,80,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4416,서울특별시,강남구,지방도,23번,남부순환로,2,서울특별시 강남구 남부순환로,서울특별시 강남구 수서동 735,37.4881970000,127.1003120000,수서역 공영주차장 앞,1,60,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4417,서울특별시,양천구,특별시도,,목동서로,2,서울특별시 양천구 목동서로 225,,37.5269890000,126.8699270000,신시가지@705동앞,1,50,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4418,서울특별시,용산구,특별시도,,한강대로,2,서울특별시 용산구 한강대로 323,,37.5471180000,126.9716140000,갈월동오일뱅크주유소 건너편,1,50,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4419,서울특별시,도봉구,일반국도,3번,도봉로,2,서울특별시 도봉구 도봉로,서울특별시 도봉구 도봉동 637-1,37.6891020000,127.0453440000,도봉산역 1번출구 건너편,1,50,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4420,서울특별시,도봉구,특별시도,,도봉로,2,서울특별시 도봉구 도봉로 447,서울특별시 도봉구 쌍문동 83-8,37.6459270000,127.0328650000,강북힘찬병원 건너편,1,50,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4421,서울특별시,마포구,특별시도,,월드컵로,1,서울특별시 마포구 월드컵로 36,,37.5525580000,126.9123920000,GS25 합정웰빙점 건너편,1,60,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4424,서울특별시,마포구,특별시도,,만리재로,2,서울특별시 마포구 만리재로 89,,37.5484370000,126.9591150000,노블레스오피스텔앞,1,60,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4425,서울특별시,구로구,특별시도,,남부순환로,2,서울특별시 구로구 남부순환로,서울특별시 구로구 구로동 692-4,37.4887970000,126.8764000000,구로IC앞,1,60,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4426,서울특별시,강남구,특별시도,,논현로,1,서울특별시 강남구 논현로 50,,37.4748680000,127.0477350000,한영빌딩앞,1,60,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4429,서울특별시,금천구,특별시도,,금하로,1,서울특별시 금천구 금하로 783,,37.4499490000,126.9165220000,동일여고 앞,1,30,,,2,2008,서울지방경찰청,02-700-5031,2020-05-31
F4430,서울특별시,강남구,고속국도,51번,분당-내곡간 고속화도로,1,서울특별시 강남구 분당-내곡간 고속화도로,서울특별시 강남구 개포동 산 164-2,37.4747830000,127.0601540000,구룡터널북단 후방 50m,1,80,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4431,서울특별시,서초구,특별시도,,반포대로,2,서울특별시 서초구 반포대로 121,,37.4905170000,127.0081170000,사랑의교회앞,1,60,,,99,2008,서울지방경찰청,02-700-5031,2020-05-31
F4723,서울특별시,동대문구,특별시도,,사가정로,1,서울특별시 동대문구 사가정로 111,,37.5775100000,127.0574980000,전농동R,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4724,서울특별시,서초구,특별시도,,사평대로,2,서울특별시 서초구 사평대로 60,,37.4979960000,126.9908260000,서초구민체육센터 건너편,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4727,서울특별시,영등포구,특별시도,,여의대방로,2,서울특별시 영등포구 여의대방로 189,,37.5038720000,126.9215920000,해군회관R,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4729,서울특별시,강남구,지방도,23번,양재대로,1,서울특별시 강남구 양재대로,서울특별시 강남구 일원동 120-1,37.4885710000,127.0821700000,삼성의료원앞R,2,70,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4730,서울특별시,구로구,특별시도,,남부순환로,2,서울특별시 구로구 남부순환로,서울특별시 구로구 개봉동 67-1,37.5013550000,126.8463810000,개봉1동사거리,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4732,서울특별시,성북구,특별시도,,동소문로,1,서울특별시 성북구 동소문로 72,,37.5917700000,127.0135060000,성북구청입구R,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4733,서울특별시,동대문구,특별시도,,고산자로,1,서울특별시 동대문구 고산자로,서울특별시 동대문구 용두동 47-1,37.5742340000,127.0382230000,동대문구청사거리,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4734,서울특별시,강동구,일반국도,43번,천호대로,2,서울특별시 강동구 천호대로 1106,,37.5349820000,127.1343620000,강동성심병원앞R,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4736,서울특별시,강남구,특별시도,,도산대로,2,서울특별시 강남구 도산대로 502,,37.5240000000,127.0477680000,청담R,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4737,서울특별시,광진구,특별시도,,광나루로,1,서울특별시 광진구 광나루로,서울특별시 광진구 광장동 535-4,37.5414610000,127.0958910000,올림픽대교북단사거리,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4738,서울특별시,성북구,특별시도,,한천로,1,서울특별시 성북구 한천로 636,,37.6151730000,127.0585160000,장위119안전센터 앞,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4741,서울특별시,노원구,특별시도,,동일로,2,서울특별시 노원구 동일로 1701,,37.6806070000,127.0553060000,홍파복지원앞R,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4742,서울특별시,동대문구,특별시도,,한천로,1,서울특별시 동대문구 한천로 300,,37.5877310000,127.0680330000,동일스위트리버@앞,2,50,,,2,2009,서울지방경찰청,02-700-5031,2020-05-31
F4746,서울특별시,서대문구,일반국도,48번,성산로,1,서울특별시 서대문구 성산로,서울특별시 서대문구 신촌동 1-142,37.5687340000,126.9483540000,금화터널출구 100m앞,1,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4747,서울특별시,용산구,특별시도,,백범로,2,서울특별시 용산구 백범로 260,,37.5399710000,126.9592660000,효창파크푸르지오@ 앞,1,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4748,서울특별시,도봉구,특별시도,,덕릉로,2,서울특별시 도봉구 덕릉로 279,,37.6417650000,127.0408850000,창림초교교차로 100m전,1,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4828,서울특별시,영등포구,일반국도,46번,영등포로,2,서울특별시 영등포구 영등포로,서울특별시 영등포구 영등포동2가 174-1,37.5187990000,126.9123850000,영등포로터리,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4829,서울특별시,영등포구,일반국도,46번,영등포로,2,서울특별시 영등포구 영등포로,서울특별시 영등포구 영등포동2가 174-1,37.5187970000,126.9122690000,영등포로터리,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F4830,서울특별시,영등포구,일반국도,46번,영등포로,1,서울특별시 영등포구 영등포로,서울특별시 영등포구 영등포동1가 95-1,37.5185940000,126.9133680000,영등포로터리,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5035,서울특별시,강남구,특별시도,,개포로,1,서울특별시 강남구 개포로,서울특별시 강남구 개포동 155-4,37.4873670000,127.0623210000,수도공고 정문 앞,2,40,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5362,서울특별시,강서구,특별시도,,등촌로,2,서울특별시 강서구 등촌로,서울특별시 강서구 등촌동 561-1,37.5415330000,126.8632250000,등마초교 입구,2,50,,,2,2009,서울지방경찰청,02-700-5031,2020-05-31
F5363,서울특별시,양천구,특별시도,,등촌로,1,서울특별시 양천구 등촌로,서울특별시 양천구 목동 709-1,37.5426500000,126.8630410000,등마초교 건너편,2,50,,,2,2009,서울지방경찰청,02-700-5031,2020-05-31
F5364,서울특별시,영등포구,특별시도,,국회대로,1,서울특별시 영등포구 국회대로,서울특별시 영등포구 양평동3가 75-4,37.5298650000,126.8927730000,경인고속입구R,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5366,서울특별시,영등포구,특별시도,,국회대로,2,서울특별시 영등포구 국회대로 608,,37.5263300000,126.9014580000,영등포경찰서 정문 앞,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5367,서울특별시,금천구,특별시도,,가마산로,2,서울특별시 금천구 가마산로,서울특별시 금천구 가산동 481-11,37.4855340000,126.8767470000,한일유엔아이앞R,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5368,서울특별시,금천구,특별시도,,시흥대로,1,서울특별시 금천구 시흥대로,서울특별시 금천구 독산동 1030-8,37.4666720000,126.8980390000,말미사거리,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5369,서울특별시,노원구,특별시도,,화랑로,1,서울특별시 노원구 화랑로,서울특별시 노원구 공릉동 25-68,37.6335280000,127.1035070000,태릉선수촌 건너편,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5370,서울특별시,성동구,특별시도,,마장로,2,서울특별시 성동구 마장로,서울특별시 성동구 마장동 804,37.5681130000,127.0455350000,마장2교R,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5371,서울특별시,송파구,일반국도,3번,송파대로,2,서울특별시 송파구 송파대로,서울특별시 송파구 장지동 596-22,37.4705000000,127.1264670000,복정역교차로,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5372,서울특별시,관악구,특별시도,,남부순환로,2,서울특별시 관악구 남부순환로,서울특별시 관악구 신림동 1641-3,37.4841320000,126.9302270000,신림역R,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5375,서울특별시,용산구,특별시도,,서빙고로,2,서울특별시 용산구 서빙고로 246,,37.5199750000,126.9908620000,서빙고역R,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5376,서울특별시,용산구,특별시도,,서빙고로,1,서울특별시 용산구 서빙고로 237,,37.5204670000,126.9905150000,서빙고역R,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5377,서울특별시,동대문구,일반국도,6번,왕산로,1,서울특별시 동대문구 왕산로 286,,37.5856530000,127.0517370000,떡전교R,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5378,서울특별시,은평구,특별시도,,수색로,2,서울특별시 은평구 수색로 255,,37.5819780000,126.8954590000,수색역3R,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5379,서울특별시,은평구,특별시도,,연서로,2,서울특별시 은평구 연서로 415,,37.6320140000,126.9311610000,은평노인복지회관,2,50,,,1,2009,서울지방경찰청,02-700-5031,2020-05-31
F5381,서울특별시,도봉구,특별시도,,도봉로,2,서울특별시 도봉구 도봉로 575,,37.6566430000,127.0393980000,도봉보건소R,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5384,서울특별시,강동구,특별시도,,양재대로,1,서울특별시 강동구 양재대로,서울특별시 강동구 길동 307,37.5340670000,127.1388490000,길동사거리,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5385,서울특별시,중구,특별시도,,퇴계로,1,서울특별시 중구 퇴계로 314,,37.5642820000,127.0065790000,광희R,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5388,서울특별시,중구,특별시도,,을지로,1,서울특별시 중구 을지로 35,,37.5661040000,126.9824280000,을지로1가교차로,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5390,서울특별시,종로구,일반국도,6번,종로,2,서울특별시 종로구 종로 344,,37.5729550000,127.0159430000,동묘앞역R:구숭인동R,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5391,서울특별시,중구,특별시도,,삼일대로,1,서울특별시 중구 삼일대로 298,,37.5613940000,126.9892370000,퇴계로2가R,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5392,서울특별시,종로구,일반국도,6번,종로,1,서울특별시 종로구 종로,서울특별시 종로구 종로4가 21-2,37.5708970000,126.9975900000,종로4가교차로,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5393,서울특별시,양천구,특별시도,,신월로,2,서울특별시 양천구 신월로 1316-8,,37.5138250000,126.8289960000,신정이펜하우스3단지 앞 사거리,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5394,서울특별시,동작구,특별시도,,장승배기로,2,서울특별시 동작구 장승배기로,서울특별시 동작구 상도동 208-5,37.4996200000,126.9430910000,신상도초교 건너편,2,30,,,2,2009,서울지방경찰청,02-700-5031,2020-05-31
F5395,서울특별시,강남구,특별시도,,선릉로,2,서울특별시 강남구 선릉로 209,,37.4931780000,127.0541640000,대도초교앞,2,50,,,2,2009,서울지방경찰청,02-700-5031,2020-05-31
F5396,서울특별시,강북구,특별시도,,한천로,2,서울특별시 강북구 한천로 975,,37.6365440000,127.0319150000,수송초교 건너편,2,30,,,2,2009,서울지방경찰청,02-700-5031,2020-05-31
F5398,서울특별시,중랑구,특별시도,,사가정로,2,서울특별시 중랑구 사가정로,서울특별시 중랑구 면목동 168-1,37.5812310000,127.0801320000,장안교사거리,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5400,서울특별시,동작구,특별시도,,동작대로,2,서울특별시 동작구 동작대로 157,,37.4908100000,126.9823320000,경문고교R,2,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5401,서울특별시,강동구,특별시도,,성안로,1,서울특별시 강동구 성안로 200,,37.5410570000,127.1377560000,천동초교앞 삼거리,2,30,,,2,2009,서울지방경찰청,02-700-5031,2020-05-31
F5402,서울특별시,강남구,특별시도,,선릉로,1,서울특별시 강남구 선릉로 228,,37.4952280000,127.0535980000,대치아이파크앞,2,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5403,서울특별시,강남구,고속국도,88번,올림픽대로,2,서울특별시 강남구 올림픽대로,서울특별시 강남구 청담동 147,37.5297550000,127.0453750000,청담중학교앞,1,80,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5404,서울특별시,동대문구,특별시도,,장안벚꽃로,2,서울특별시 동대문구 장안벚꽃로 205,,37.5783300000,127.0762250000,은석초교앞,1,40,,,2,2009,서울지방경찰청,02-700-5031,2020-05-31
F5406,서울특별시,송파구,특별시도,,양재대로,1,서울특별시 송파구 양재대로,서울특별시 송팍구 가락동 43-3,37.5043050000,127.1237540000,오금사거리,1,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5407,서울특별시,강남구,특별시도,,헌릉로,2,서울특별시 강남구 헌릉로,서울특별시 강남구 세곡동 389-5,37.4646600000,127.0940170000,헌릉IC 앞,1,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5408,서울특별시,서초구,특별시도,,헌릉로,1,서울특별시 서초구 헌릉로,서울특별시 서초구 내곡동 1-1683,37.4591130000,127.0779310000,내곡IC 앞,1,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5409,서울특별시,송파구,고속국도,88번,올림픽대로,1,서울특별시 송파구 올림픽대로,서울특별시 송파구 잠실동 1,37.5176100000,127.0771350000,주경기장 앞,1,80,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5412,서울특별시,종로구,일반국도,48번,사직로,2,서울특별시 종로구 사직로,서울특별시 종로구 사직동 9-4,37.5747970000,126.9680030000,광화문풍림스페이스본@,1,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5414,서울특별시,동작구,고속국도,88번,올림픽대로,1,서울특별시 동작구 올림픽대로,서울특별시 동작구 동작동 316-2,37.5054060000,126.9755670000,노량대교 진입부,1,80,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5416,서울특별시,동작구,고속국도,88번,올림픽대로,1,서울특별시 동작구 올림픽대로,서울특별시 동작구 본동 477-1,37.5161520000,126.9506250000,한강철교 앞,1,80,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5417,서울특별시,서초구,특별시도,,사임당로,1,서울특별시 서초구 사임당로,서울특별시 서초구 서초동 1418,37.4910500000,127.0238330000,신동아2차@ 5동 앞,1,30,,,2,2009,서울지방경찰청,02-700-5031,2020-05-31
F5419,서울특별시,중랑구,특별시도,,면목로,2,서울특별시 중랑구 면목로 429,,37.5902930000,127.0869700000,면목초교 건너편,1,50,,,2,2009,서울지방경찰청,02-700-5031,2020-05-31
F5420,서울특별시,성북구,특별시도,,종암로,2,서울특별시 성북구 종암로 83,,37.5975620000,127.0349140000,천주교종암동교회건너편,1,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5421,서울특별시,광진구,일반국도,47번,동일로,1,서울특별시 광진구 동일로 278,,37.5562210000,127.0720820000,KT파워텔 앞,1,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5423,서울특별시,은평구,특별시도,,진흥로,1,서울특별시 은평구 진흥로 325,,37.6107610000,126.9460260000,구기터널서단,1,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5425,서울특별시,구로구,일반국도,46번,경인로,1,서울특별시 구로구 경인로 90,,37.4913520000,126.8320620000,서울가든빌라 건너편,1,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5426,서울특별시,강남구,고속국도,171번,서울-용인고속도로,1,서울특별시 강남구 서울-용인고속도로,서울특별시 강남구 세곡동 산 52-46,37.4633850000,127.0934450000,서울-용인고속도로 헌릉IC진입전,1,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5427,서울특별시,동작구,특별시도,,사당로,2,서울특별시 동작구 사당로,서울특별시 동작구 사당동 산 31-50,37.4919170000,126.9638620000,사당해그린@건너편,1,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5428,서울특별시,성북구,특별시도,,종암로,1,서울특별시 성북구 종암로 80,,37.5971950000,127.0354400000,종암동성당앞,1,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5429,서울특별시,은평구,특별시도,,통일로,1,서울특별시 은평구 통일로 586,,37.5992970000,126.9370420000,녹번대림@ 앞,1,50,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5430,서울특별시,중구,특별시도,,동호로,2,서울특별시 중구 동호로,서울특별시 중구 신당동 373-206,37.5521690000,127.0125840000,중구청소년수련관앞,1,60,,,99,2009,서울지방경찰청,02-700-5031,2020-05-31
F5487,서울특별시,강북구,특별시도,,오패산로,2,서울특별시 강북구 오패산로 275,,37.6258130000,127.0295370000,오패산터널 앞,2,40,,,99,2010,서울지방경찰청,02-700-5031,2020-05-31
F5488,서울특별시,강남구,지방도,23번,밤고개로,2,서울특별시 강남구 밤고개로,서울특별시 강남구 자곡동 660,37.4752770000,127.1060730000,자곡사거리,2,50,,,99,2010,서울지방경찰청,02-700-5031,2020-05-31
F5489,서울특별시,강남구,특별시도,,자곡로,2,서울특별시 강남구 자곡로,서울특별시 강남구 자곡동 352-4,37.4763870000,127.1083510000,래미안포레아파트 건너편,2,60,,,99,2010,서울지방경찰청,02-700-5031,2020-05-31
F5617,서울특별시,송파구,고속국도,88번,올림픽대로,2,서울특별시 송파구 올림픽대로,서울특별시 송파구 풍납동 45-7,37.5366250000,127.1124510000,한강용성공원 앞,1,80,,,99,2010,서울지방경찰청,02-700-5031,2020-05-31
F5618,서울특별시,서초구,고속국도,88번,올림픽대로,2,서울특별시 서초구 올림픽대로,서울특별시 서초구 잠원동 122-2,37.5124510000,127.0026790000,한강반포공원 앞,1,80,,,99,2010,서울지방경찰청,02-700-5031,2020-05-31
F5619,서울특별시,마포구,고속국도,70번,강변북로,1,서울특별시 마포구 강변북로,서울특별시 마포구 상암동 487-92,37.5646230000,126.8837290000,한강공원난지지구 앞,1,80,,,99,2010,서울지방경찰청,02-700-5031,2020-05-31
F5620,서울특별시,영등포구,일반국도,1번,서부간선도로,2,서울특별시 영등포구 서부간선도로,서울특별시 영등포구 양화동 10-2,37.5431970000,126.8874120000,서부간선도로 시점(광명 방면),1,80,,,99,2010,서울지방경찰청,02-700-5031,2020-05-31
F5621,서울특별시,강남구,특별시도,,언주로,2,서울특별시 강남구 언주로 431,,37.5021730000,127.0427160000,르네상스4R,2,60,,,99,2010,서울지방경찰청,02-700-5031,2020-05-31
F5622,서울특별시,강남구,특별시도,,도곡로,1,서울특별시 강남구 도곡로,서울특별시 강남구 대치동 1026,37.4961150000,127.0531750000,한티역 4번출구,2,60,,,99,2010,서울지방경찰청,02-700-5031,2020-05-31
F5623,서울특별시,강남구,특별시도,,테헤란로,1,서울특별시 강남구 테헤란로,서울특별시 강남구 대치동 889-1,37.5043310000,127.0493330000,선릉역R,2,60,,,99,2010,서울지방경찰청,02-700-5031,2020-05-31
F5625,서울특별시,강남구,일반국도,47번,영동대로,1,서울특별시 강남구 영동대로 202,,37.4969200000,127.0701870000,학여울역R,2,60,,,99,2010,서울지방경찰청,02-700-5031,2020-05-31
F5626,서울특별시,동작구,특별시도,,현충로,1,서울특별시 동작구 현충로,서울특별시 동작구 흑석동 10-5,37.5071300000,126.9668030000,명수대현대@102동앞,2,50,,,2,2010,서울지방경찰청,02-700-5031,2020-05-31
F5627,서울특별시,동작구,특별시도,,현충로,2,서울특별시 동작구 현충로,서울특별시 동작구 흑석동 114-15,37.5094120000,126.9630010000,중앙대입구교차로,2,50,,,2,2010,서울지방경찰청,02-700-5031,2020-05-31
F5628,서울특별시,종로구,일반국도,48번,세종대로,1,서울특별시 종로구 세종대로 175,,37.5705510000,126.9776330000,세종대로사거리,2,50,,,99,2010,서울지방경찰청,02-700-5031,2020-05-31
F5629,서울특별시,중구,특별시도,,남대문로,1,서울특별시 중구 남대문로,서울특별시 중구 남대문로4가 24,37.5606760000,126.9754710000,남대문사거리,2,50,,,99,2010,서울지방경찰청,02-700-5031,2020-05-31
F5630,서울특별시,중구,특별시도,,동호로,2,서울특별시 중구 동호로 256,,37.5588260000,127.0060860000,장충교차로,2,60,,,99,2010,서울지방경찰청,02-700-5031,2020-05-31
